state,cycle,as_of_date,basis,reg_total,reg_dem,reg_rep,reg_oth,reg_npa,npa_label,source_url,retrieved_at,note
OR,2026,2026-08-04,unstated,3076893,980829,734821,218883,1142360,Non Affiliated,https://sos.oregon.gov/elections/Documents/Registration/2026-August.pdf,2026-09-07,"'August 2026' monthly report, newest as of 2026-09-07 (2026-September.pdf returns 404); as_of from the PDF's 'Prepared 8/4/2026' stamp — data.oregon.gov carries the identical counts under snapshot date 2026-08-06"
PA,2022,2022-11-08,unstated,8873144,4046694,3497126,1329324,,,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/voting-and-election-statistics/voter-registration-statistics/2022%20Election%20VR%20Statistics.pdf,2026-09-07,"No no-party bucket published; reg_oth = Libertarian + Green + Other Parties. Document prints only the election date, no snapshot date."
PA,2024,2024-11-05,unstated,9175133,3998602,3712319,1464212,,,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/voting-and-election-statistics/voter-registration-statistics/2024%20Election%20Nov..pdf,2026-09-07,No no-party bucket published; reg_oth = Libertarian + Other Parties. Green folded into Other Parties this cycle. Document prints only the election date.
PA,2026,2026-08-31,active+inactive,8985674,3846695,3634536,314259,1190184,No Aff,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/voting-and-election-statistics/currentvotestats.xlsx,2026-09-07,"Weekly workbook; this file DOES separate No Aff from Other. Basis is active+inactive (proved by the Active-Inactive sheet, see below). Active-only is available but only as Dem/Rep/Other with no NPA split."
RI,2022,2022-10-01,active,715955,316074,104006,0,295875,Unaffiliated,https://datahub.sos.ri.gov/RegisteredVoter.aspx,2026-09-07,"From the RI Dept of State Power BI dashboard dataset via the Power BI public REST API; no static file is published. reg_oth is a genuine 0 (Moderate=0, No Labels=0 at this date). reg_total = sum of the Active cells. Inactive 92,887 and Pending 4,803 excluded."
RI,2024,2024-10-01,active,723384,272850,103329,378,346827,Unaffiliated,https://datahub.sos.ri.gov/RegisteredVoter.aspx,2026-09-07,"reg_oth = No Labels 378 (the only minor party with registrants). reg_total = sum of the Active cells. Inactive 57,587 and Pending 8,064 excluded."
RI,2026,2026-09-01,active,695021,235187,100348,0,359486,Unaffiliated,https://datahub.sos.ri.gov/RegisteredVoter.aspx,2026-09-07,"Most recent monthly snapshot; dataset LastRefreshTime 2026-09-01. reg_oth is a genuine 0. Inactive 94,547 and Pending 2,979 excluded."
SD,2022,2022-10-03,active,592542,150919,293885,4143,143595,NPA/IND,https://sdsos.gov/elections-voting/assets/Archive/StatewideVoterRegistrationTotals/Archive/Prior%20to%202026/StatewideVotersByCounty20221001.pdf,2026-09-07,"File is named ...20221001 but the report header states October 3, 2022. In 2022 SD used ONE combined NPA/IND column; 2024 and 2026 split them. reg_oth = Libertarian + OTH."
SD,2024,2024-10-01,active,616056,144771,312482,3959,154844,"Independent + No Party Affiliation (reported separately: 89,646 + 65,198)",https://sdsos.gov/elections-voting/assets/Archive/StatewideVoterRegistrationTotals/Archive/Prior%20to%202026/StatewideVotersByCounty_10.1.2024.pdf,2026-09-07,SD splits Independent and No Party Affiliation into two columns but its own footnote says they are the same thing; I summed them into reg_npa. reg_oth = Libertarian + OTH + No Labels.
SD,2026,2026-07-31,active,622814,134109,329420,3784,155501,"Independent + No Party Affiliation (reported separately: 86,597 + 68,904)",https://sdsos.gov/elections-voting/upcoming-elections/voter-registration-totals/2026%20Voter%20Registration/StatewideVotersByCounty8.1.26.pdf,2026-09-07,"NOT the newest file. The newer 2026-09-01 SD report has its Democratic and Republican DATA COLUMNS TRANSPOSED (proof below), so I used the 2026-07-31 report, which is internally consistent and on-trend. reg_oth = Libertarian + OTH; No Labels column no longer printed."
UT,2022,2022-10-17,active,1684693,234712,879259,92961,477761,Unaffiliated,https://vote.utah.gov/wp-content/uploads/2023/07/2022-Utah-Political-Party-Registration-Data.xlsx,2026-09-07,"Workbook holds weekly columns; four October 2022 snapshots exist (10-03, 10-11, 10-17, 10-31) and I took 10-17 as closest to mid-October. reg_oth = Constitution + Independent American + Libertarian + United Utah (Independent American is a real registered party in Utah, NOT a no-party category)."
UT,2024,2024-10-21,active,1776412,245487,928390,113527,489008,Unaffiliated,https://vote.utah.gov/wp-content/uploads/2024/12/2024-Utah-Political-Party-Registration-Data.xlsx,2026-09-07,"Three October 2024 snapshots exist (10-07, 10-21, 10-28); took 10-21 as closest to mid-October. reg_oth = Constitution + Green + Independent American + Libertarian + No Labels + United Utah + Utah Forward."
UT,2026,2026-08-31,active,1773924,248099,912907,104656,508262,Unaffiliated,https://vote.utah.gov/current-voter-registration-statistics/,2026-09-07,"Statewide table printed on the state page ('Last updated on August 31, 2026'); active column used. The 2026 workbook only runs to 2026-06-08, so the page table is the newest. My independent sum of the state's own county PDF gives a total 5 lower (1,773,919) — see below."
WV,2022,2022-10-18,unstated,1153232,379054,452918,50576,270684,No Party,https://sos.wv.gov/media/530/download?inline,2026-09-07,"Report header states the registration deadline of October 18, 2022 as the as-of date (updated November 7, 2022). No Constitution column this cycle. reg_oth = Mountain + Libertarian + Other."
WV,2024,2024-10-15,unstated,1210415,354417,499202,54343,302453,No Party,https://sos.wv.gov/media/623/download?inline,2026-09-07,"Header states the registration deadline of October 15, 2024 (updated November 5, 2024). reg_oth = Mountain + Libertarian + Constitution + Other."
WV,2026,2026-08-31,unstated,1205534,326023,525194,48587,305730,No Party,https://sos.wv.gov/media/794/download?inline,2026-09-07,"Newest monthly report; the page's link TEXT says August but its title attribute still says 'July 2026' — the PDF itself states 'as of August 31, 2026', which is what I used. reg_oth = Mountain + Libertarian + Constitution + Other."
WY,2022,2022-10-01,unstated,295926,31471,234476,2785,27194,Unaffiliated,https://sos.wyo.gov/Elections/Docs/VRStats/2022VR_stats.pdf,2026-09-07,"Page 11 of the 2022 annual compilation, header 'Statewide Summary 10/1/2022'. reg_oth = Constitution + Libertarian + Other*."
WY,2024,2024-10-01,unstated,236290,26789,189676,1921,17904,Unaffiliated,https://sos.wyo.gov/Elections/Docs/VRStats/2024VR_stats.pdf,2026-09-07,"Page 11 of the 2024 annual compilation, header 'Statewide Summary 10/1/2024'. No Labels appears as its own column this cycle. reg_oth = Constitution + Libertarian + No Labels + Other*."
WY,2026,2026-09-01,unstated,278468,30690,217895,4569,25314,Unaffiliated,https://sos.wyo.gov/Elections/Docs/VRStats/2026/26SepVR_Stats.pdf,2026-09-07,"Newest monthly file, header 'Statewide Summary 9/1/2026'. No Labels column no longer printed. reg_oth = Constitution + Libertarian + Other*."
